,time,coords_1,coords_2,distance
89,2019-11-05 09:39:02+00:00,,"('52.3586730417645', '4.917497338188923', datetime.datetime(2019, 11, 5, 9, 38, 48, tzinfo=tzutc()))",
90,2019-11-05 09:39:32+00:00,,"('52.35912187045687', '4.917298854721821', datetime.datetime(2019, 11, 5, 9, 39, 24, tzinfo=tzutc()))",
91,2019-11-05 09:40:02+00:00,,"('52.35947568840242', '4.916880430115498', datetime.datetime(2019, 11, 5, 9, 39, 58, tzinfo=tzutc()))",
92,2019-11-05 09:40:32+00:00,,"('52.359865506484866', '4.9170574669128655', datetime.datetime(2019, 11, 5, 9, 40, 30, tzinfo=tzutc()))",
93,2019-11-05 09:41:02+00:00,,"('52.36028483890438', '4.916392279077172', datetime.datetime(2019, 11, 5, 9, 41, 16, tzinfo=tzutc()))",
94,2019-11-05 09:41:32+00:00,,"('52.36028483890438', '4.916392279077172', datetime.datetime(2019, 11, 5, 9, 41, 16, tzinfo=tzutc()))",
95,2019-11-05 09:42:02+00:00,,"('52.36064519952299', '4.91668732206881', datetime.datetime(2019, 11, 5, 9, 41, 47, tzinfo=tzutc()))",
96,2019-11-05 09:42:32+00:00,,"('52.36052726364406', '4.917041373658776', datetime.datetime(2019, 11, 5, 9, 42, 6, tzinfo=tzutc()))",
97,2019-11-05 09:43:02+00:00,,"('52.36029794297834', '4.91769046824038', datetime.datetime(2019, 11, 5, 9, 42, 42, tzinfo=tzutc()))",
98,2019-11-05 09:43:32+00:00,,"('52.36049777962515', '4.9187043432480095', datetime.datetime(2019, 11, 5, 9, 43, 33, tzinfo=tzutc()))",
99,2019-11-05 09:44:02+00:00,,"('52.36049777962515', '4.9187043432480095', datetime.datetime(2019, 11, 5, 9, 43, 33, tzinfo=tzutc()))",
100,2019-11-05 09:44:32+00:00,,"('52.36059278361568', '4.919648480821252', datetime.datetime(2019, 11, 5, 9, 44, 19, tzinfo=tzutc()))",
101,2019-11-05 09:45:02+00:00,,"('52.36116607922307', '4.920399499345422', datetime.datetime(2019, 11, 5, 9, 45, 17, tzinfo=tzutc()))",
102,2019-11-05 09:45:32+00:00,,"('52.36116607922307', '4.920399499345422', datetime.datetime(2019, 11, 5, 9, 45, 17, tzinfo=tzutc()))",
103,2019-11-05 09:46:02+00:00,,"('52.36159522706679', '4.920560431886315', datetime.datetime(2019, 11, 5, 9, 45, 51, tzinfo=tzutc()))",
104,2019-11-05 09:46:32+00:00,,"('52.36194393924342', '4.920520480606228', datetime.datetime(2019, 11, 5, 9, 46, 18, tzinfo=tzutc()))",
105,2019-11-05 09:47:02+00:00,,"('52.36243859676681', '4.920005496475369', datetime.datetime(2019, 11, 5, 9, 47, 4, tzinfo=tzutc()))",
106,2019-11-05 09:47:32+00:00,,"('52.36243859676681', '4.920005496475369', datetime.datetime(2019, 11, 5, 9, 47, 4, tzinfo=tzutc()))",
107,2019-11-05 09:48:02+00:00,,"('52.36294635204089', '4.919925030204922', datetime.datetime(2019, 11, 5, 9, 47, 44, tzinfo=tzutc()))",
108,2019-11-05 09:48:32+00:00,,"('52.363418067841', '4.9198445639344754', datetime.datetime(2019, 11, 5, 9, 48, 21, tzinfo=tzutc()))",
109,2019-11-05 09:49:02+00:00,,"('52.36363595179781', '4.919161039534856', datetime.datetime(2019, 11, 5, 9, 48, 58, tzinfo=tzutc()))",
110,2019-11-05 09:49:32+00:00,,"('52.3640650756527', '4.919493633452703', datetime.datetime(2019, 11, 5, 9, 49, 35, tzinfo=tzutc()))",
111,2019-11-05 09:50:02+00:00,,"('52.3640650756527', '4.919493633452703', datetime.datetime(2019, 11, 5, 9, 49, 35, tzinfo=tzutc()))",
112,2019-11-05 09:50:32+00:00,,"('52.36433368541031', '4.920228558722783', datetime.datetime(2019, 11, 5, 9, 50, 16, tzinfo=tzutc()))",
113,2019-11-05 09:51:02+00:00,,"('52.36460054112308', '4.9207877054965365', datetime.datetime(2019, 11, 5, 9, 50, 50, tzinfo=tzutc()))",
114,2019-11-05 09:51:32+00:00,,"('52.36492810980948', '4.921356333807694', datetime.datetime(2019, 11, 5, 9, 51, 27, tzinfo=tzutc()))",
115,2019-11-05 09:52:02+00:00,,"('52.36521309259099', '4.921715749815689', datetime.datetime(2019, 11, 5, 9, 51, 55, tzinfo=tzutc()))",
116,2019-11-05 09:52:32+00:00,,"('52.36548497100241', '4.922075165823685', datetime.datetime(2019, 11, 5, 9, 52, 22, tzinfo=tzutc()))",
117,2019-11-05 09:53:02+00:00,,"('52.36588450524201', '4.921911625778193', datetime.datetime(2019, 11, 5, 9, 52, 54, tzinfo=tzutc()))",
118,2019-11-05 09:53:32+00:00,,"('52.36618258418296', '4.92150393000793', datetime.datetime(2019, 11, 5, 9, 53, 24, tzinfo=tzutc()))",
119,2019-11-05 09:54:02+00:00,,"('52.366411114730475', '4.920926000560485', datetime.datetime(2019, 11, 5, 9, 53, 57, tzinfo=tzutc()))",
120,2019-11-05 09:54:32+00:00,,"('52.366673159134294', '4.920250083888732', datetime.datetime(2019, 11, 5, 9, 54, 35, tzinfo=tzutc()))",
121,2019-11-05 09:55:02+00:00,,"('52.366673159134294', '4.920250083888732', datetime.datetime(2019, 11, 5, 9, 54, 35, tzinfo=tzutc()))",
122,2019-11-05 09:55:32+00:00,,"('52.36696140618319', '4.919472243274413', datetime.datetime(2019, 11, 5, 9, 55, 19, tzinfo=tzutc()))",
123,2019-11-05 09:56:02+00:00,,"('52.36732171234949', '4.919016267741881', datetime.datetime(2019, 11, 5, 9, 55, 55, tzinfo=tzutc()))",
